Price_usd,Market_cap,Volume,Date
5,5350103716,366896197,2020-08-31 00:00:00
4,4123709369,200465046,2020-09-30 00:00:00
4,3791580626,159228530,2020-10-31 00:00:00
5,4847631627,180449728,2020-11-30 00:00:00
7,6890483558,1162860045,2020-12-31 00:00:00
16,15755706707,943930650,2021-01-31 00:00:00
33,32494177264,3663132564,2021-02-28 00:00:00
33,33200100559,972088014,2021-03-31 00:00:00
35,35125134676,1671642385,2021-04-30 00:00:00
20,20344660576,1386880188,2021-05-31 00:00:00
16,16384626754,935736808,2021-06-30 00:00:00
15,16020063316,899105792,2021-07-31 00:00:00
26,26606852908,1464426120,2021-08-31 00:00:00
27,28251846107,1141653463,2021-09-30 00:00:00
42,44630826101,921954043,2021-10-31 00:00:00
37,39610271572,1096283142,2021-11-30 00:00:00
27,29412068041,1056266379,2021-12-31 00:00:00
18,19651471274,605567191,2022-01-31 00:00:00
17,19052243735,987126257,2022-02-28 00:00:00
22,24764137740,926646920,2022-03-31 00:00:00
16,17863328168,447859503,2022-04-30 00:00:00
10,11690276218,522596182,2022-05-31 00:00:00
7,7889820786,502776117,2022-06-30 00:00:00
8,9353641329,652019084,2022-07-31 00:00:00
6,8053688426,264676362,2022-08-31 00:00:00
6,7428715004,248460354,2022-09-30 00:00:00
6,7738753670,247616521,2022-10-31 00:00:00
5,6246844054,189434131,2022-11-30 00:00:00
4,5133550358,99019186,2022-12-31 00:00:00
6,7410872880,275635411,2023-01-31 00:00:00
6,7952520453,288525491,2023-02-28 00:00:00
6,7444748644,197809653,2023-03-31 00:00:00
6,7407756843,119565163,2023-04-30 00:00:00
5,6740284018,106801123,2023-05-31 00:00:00
4,6237577866,141314123,2023-06-30 00:00:00
5,6529870403,99330853,2023-07-31 00:00:00
4,5664668440,83239170,2023-08-20 15:16:33
