id,name,year_established,country,trust_score,trust_score_rank,trade_volume_24h_btc,trade_volume_24h_btc_normalized
binance,Binance,2017.0,Cayman Islands,10,1,219585.5268659356,146758.9491748072
gdax,Coinbase Exchange,2012.0,United States,10,2,30348.02020451675,30348.02020451675
bybit_spot,Bybit,2018.0,British Virgin Islands,10,3,29942.294453511895,29942.294453511895
huobi,Huobi,2013.0,Seychelles,10,4,42694.72503810947,22099.018034075863
kraken,Kraken,2011.0,United States,10,5,16638.95012613425,14643.816678091973
kucoin,KuCoin,2014.0,Seychelles,10,6,10519.058832721055,10519.058832721055
bitfinex,Bitfinex,2012.0,British Virgin Islands,10,7,3196.3463347110155,2445.707653951954
binance_us,Binance US,2019.0,United States,10,8,329.91898663651506,329.91898663651506
okex,OKX,2017.0,Seychelles,9,9,25211.850143607135,25211.850143607135
gate,Gate.io,,Cayman Islands,9,10,17772.268870688786,17772.268870688786
bitget,Bitget,2018.0,Seychelles,9,11,16341.109974122779,16341.109974122779
crypto_com,Crypto.com Exchange,2019.0,Malta,9,12,6990.657063922285,6990.657063922285
bitstamp,Bitstamp,2013.0,Luxembourg,9,13,5835.519943287437,2837.1169083734158
gemini,Gemini,2014.0,United States,9,14,637.9713261179254,637.9713261179254
digifinex,DigiFinex,2018.0,Seychelles,8,15,32874.89272670347,32874.89272670347
coinw,CoinW,2017.0,United Arab Emirates,8,16,26255.696885885038,26255.696885885038
mxc,MEXC,2018.0,Seychelles,8,17,18790.1060177783,18790.1060177783
whitebit,WhiteBIT,2018.0,Lithuania,8,18,15801.60499260581,15801.60499260581
deepcoin,Deepcoin,2018.0,Seychelles,8,19,8634.29111716004,8634.29111716004
btse,BTSE,2018.0,British Virgin Islands,8,20,12656.098330071294,8544.31476920887
bingx,BingX,2018.0,British Virgin Islands,8,21,8287.991614692926,8287.991614692926
phemex,Phemex,2019.0,Singapore,8,22,2006.5795750905083,2006.5795750905083
dextrade,Dex-Trade,2019.0,Belize,8,23,2005.0622022452872,2005.0622022452872
exmo,EXMO,2013.0,United Kingdom,8,24,1947.5493612566756,1947.5493612566756
qmall,QMall,,Lithuania,7,25,1411.3392726861573,1411.3392726861573
wootrade,WOO X,2019.0,Seychelles,8,26,1311.2902526412217,1157.5610884122195
bitso,Bitso,2014.0,Gibraltar,8,27,1038.136723881869,1038.136723881869
pointpay,PointPay,2018.0,Saint Vincent and the Grenadines,8,28,970.0006879591267,970.0006879591267
bitbank,Bitbank,2016.0,Japan,8,29,644.2475179525121,644.2475179525121
bitkub,Bitkub,2018.0,Thailand,7,30,587.2686688046923,587.2686688046923
coinex,CoinEx,2017.0,Samoa,8,31,483.8119127931932,483.8119127931932
bittrex,Bittrex Global,2014.0,Liechtenstein,8,32,384.3742752902642,384.3742752902642
max_maicoin,Max Maicoin,,Taiwan,8,33,375.15359644955606,375.15359644955606
bitopro,BitoPro,2018.0,Taiwan,8,34,662.161396021304,364.0072484468288
indodax,Indodax,2014.0,Indonesia,8,35,215.4410180939644,215.4410180939644
fastex,Fastex,,Lithuania,8,36,136.01092463107952,136.01092463107952
blockchain_com,Blockchain.com,2012.0,United Kingdom,8,37,74.79520109087711,74.79520109087711
coinspro,Coins.ph,,Philippines,8,38,32.69755232150378,32.69755232150378
bitmex_spot,BitMEX,,Seychelles,8,39,8.553324566469485,8.553324566469485
nice_hash,NiceHash,,Slovenia,8,40,2.7852505852389884,2.7852505852389884
bitmart,BitMart,2017.0,Cayman Islands,7,41,30809.307362484033,27800.424377722615
xt,XT.COM,2018.0,Seychelles,7,42,23455.003431705776,22832.050871920932
lbank,LBank,2015.0,British Virgin Islands,7,43,22860.552351296446,22860.552351296446
upbit,Upbit,2017.0,South Korea,7,44,26189.758292793842,20351.13517617254
bitrue,Bitrue,2018.0,Singapore,7,45,30333.212790117694,14627.812985675198
p2pb2b,P2B,2018.0,Lithuania,7,46,23906.921762031747,14196.734932991782
latoken,LATOKEN,2017.0,Cayman Islands,7,47,12423.731199641796,12423.731199641796
coinsbit,Coinsbit,,Estonia,7,48,10974.49807258325,10974.49807258325
biconomy,Biconomy,2019.0,Canada,7,49,16527.30188596408,9218.011216498777
tidex,Tidex,2017.0,Lithuania,8,50,8039.288606289037,8039.288606289037
toobit,Toobit,2022.0,Cayman Islands,7,51,19378.615729227862,7781.5777308375855
bithumb,Bithumb,2014.0,South Korea,7,52,6137.87609828086,6137.87609828086
azbit,Azbit,,Seychelles,7,53,4722.81999434827,4630.275188437432
difx,DIFX,2021.0,Cayman Islands,6,54,6496.87235275687,4538.2744576548575
bigone,BigONE,2017.0,Netherlands,7,55,3519.8334532886174,3519.8334532886174
coinstore,Coinstore,2020.0,Singapore,7,56,5323.955271059925,3379.6084559861165
btcturk,BtcTurk | Kripto,2013.0,Turkey,7,57,3414.6745692231466,2955.8562351500113
paribu,Paribu,,Turkey,7,58,2696.1142315353145,2170.1626967002035
bitflyer,bitFlyer,2014.0,Japan,7,59,1803.017158462393,1803.017158462393
bitexen,Bitexen,2018.0,Turkey,7,60,801.1397602603694,595.1114190940734
bullish_com,Bullish,2021.0,Gibraltar,7,61,19835.837045839213,423.90639477887515
independent_reserve,Independent Reserve,2013.0,Australia,7,62,383.40127146334606,383.40127146334606
kanga,Kanga,2018.0,Belize,7,63,355.1991390699825,355.1991390699825
valr,VALR,2018.0,South Africa,8,64,377.2625096787751,247.70613471791307
luno,Luno,2013.0,Singapore,7,65,205.53573423693453,205.53573423693453
nominex,Nominex,2019.0,Seychelles,6,66,283.27744200127614,140.78650540658148
cex,CEX.IO,2013.0,United Kingdom,7,67,91.77174945361172,91.77174945361172
itbit,itBit,2013.0,United States,7,68,68.38396720140653,68.38396720140653
kuna,Kuna Exchange,,United Kingdom,7,69,18.577553469254102,18.577553469254102
coin_metro,Coinmetro,2018.0,Estonia,7,70,13.957952869281177,13.957952869281177
delta_spot,Delta Exchange,,Jamaica,7,71,13.339829809670906,13.339829809670906
okcoin,Okcoin,2013.0,United States,7,72,4.569292674069916,4.569292674069916
bitforex,Bitforex,2018.0,Seychelles,6,73,100580.09761878512,15791.63867529532
cointr,CoinTR Pro,2022.0,Lithuania,6,74,11254.770599136578,11254.770599136578
bitmax,AscendEX (BitMax),2018.0,Singapore,6,75,8028.88681512374,5589.676508206747
uniswap_v3_arbitrum,Uniswap V3 (Arbitrum One),,,6,76,4926.977873285538,4926.977873285538
bitmake,BitMake,2020.0,United Arab Emirates,6,77,3933.87580005202,3933.87580005202
uniswap_v2,Uniswap V2 (Ethereum),2018.0,,6,78,3406.0007245025345,3406.0007245025345
pancakeswap-v3-bsc,Pancakeswap V3 (BSC),,,6,79,2514.29791390375,2514.29791390375
poloniex,Poloniex,2014.0,Seychelles,6,80,28636.28004041578,2241.895021804326
maverick_protocol,Maverick Protocol,,,6,81,1884.8675822703765,1854.9926141916387
bitvavo,Bitvavo,2018.0,Netherlands,6,82,1741.6138223709036,1741.6138223709036
uniswap_v3_polygon_pos,Uniswap V3 (Polygon),2021.0,,6,83,1107.2445844991653,1107.2445844991653
bitci,Bitci TR,2018.0,Turkey,6,84,1090.9221961289934,1090.9221961289934
cryptology,Cryptology,2018.0,Lithuania,6,85,944.7654737224644,944.7654737224644
coinone,Coinone,2016.0,South Korea,6,86,805.1610699149219,805.1610699149219
syncswap,SyncSwap,,,6,87,752.9873230592865,752.9873230592865
uniswap_v3_optimism,Uniswap V3 (Optimism),,,6,88,686.4884485942498,686.4884485942498
pancakeswap_new,PancakeSwap (v2),2020.0,,6,89,570.1730487061038,570.1730487061038
c_patex,C-Patex,,Argentina,6,90,570.8675161950895,570.8675161950895
pulsex,PulseX,,,6,91,446.70129945045346,446.70129945045346
orca,Orca,,,6,92,456.11134261478475,456.11134261478475
traderjoe-v2-1-avalanche,TraderJoe V2.1 (Avalanche),,,6,93,402.6597037998619,402.6597037998619
velodrome-finance-v2,Velodrome Finance v2,,,6,94,270.86331729918686,270.86331729918686
bitazza,Bitazza,2021.0,Thailand,6,95,266.37284690708276,266.37284690708276
dodo_bsc,DODO (BSC),2021.0,,6,96,261.8103274341783,261.8103274341783
gmo_japan,GMO Japan,,Japan,6,97,236.81401730022617,236.81401730022617
pancakeswap-v3-zksync,Pancakeswap V3 (zkSync),2020.0,Singapore,6,98,213.60845653656366,213.60845653656366
traderjoe-v2-1-arbitrum,TraderJoe V2.1 (Arbitrum),,,6,99,195.0737772150564,195.0737772150564
finexbox,FinexBox,2018.0,Hong Kong,6,100,186.4998156327425,186.4998156327425
